Food,Calories,Protein,Carbs,Fat
Apple,52,0.3,14.0,0.2
Banana,89,1.1,23.0,0.3
Chicken,165,31.0,0.0,3.6
Almonds,161,6.0,6.0,14.0
Spinach,23,2.9,3.6,0.4
Rice,130,2.7,28.0,0.3
Egg,155,13.0,1.1,11.0
Milk,42,3.4,5.0,1.0
Broccoli,34,2.8,6.6,0.4
Bread,265,9.0,49.0,3.2
Orange,47,0.9,12.0,0.1
Cheese,402,25.0,1.3,33.0
Potato,77,2.0,17.0,0.1
Fish,206,22.0,0.0,12.0
Beans,347,21.0,63.0,1.2
Paneer,296,18.0,6.0,22.0
Ghee,900,0.0,0.0,100.0
Roti,297,8.0,55.0,3.0
Dosa,168,3.0,31.0,4.0
Upma,180,5.0,30.0,5.0
Idli,58,2.0,12.0,0.4
Pasta,131,5.0,25.0,1.1
Pizza,266,11.0,33.0,10.0
Burger,295,17.0,30.0,12.0
Chole,364,19.0,61.0,6.0
Samosa,262,6.0,32.0,13.0
Vada,239,4.9,26.0,11.0
Poha,180,2.3,32.0,4.0
Maggi,385,10.0,56.0,15.0
Biryani,292,11.0,37.0,12.0
Kheer,151,3.3,25.0,3.1
Khichdi,172,5.0,29.0,2.6
Sabudana,351,0.2,86.0,0.5
Corn,86,3.4,19.0,1.2
Pomegranate,83,1.7,19.0,1.2
Grapes,69,0.7,18.0,0.2
Watermelon,30,0.6,8.0,0.2
Papaya,43,0.5,11.0,0.3
Mango,60,0.8,15.0,0.4
Oats,389,17.0,66.0,7.0
Chia Seeds,486,16.0,42.0,31.0
Walnuts,654,15.0,14.0,65.0
Cashews,553,18.0,30.0,44.0
Coconut,354,3.3,15.0,33.0
Tofu,76,8.0,2.0,4.8
Turkey,104,17.0,0.0,2.0
Shrimp,99,24.0,0.2,0.3
Salmon,208,20.0,0.0,13.0
Yogurt,59,10.0,3.6,0.4
